ZipCode,Neighbourhood,Population,Number of Households,Median Income$,Average Income$
90001,Florence-Graham,"58,245","13,421","52,806.00","64,917.00"
90002,Watts,"54,384","13,011","46,159.00","61,662.00"
90003,South Los Angeles,"75,190","17,759","47,733.00","60,252.00"
90004,Hancock Park,"59,621","22,231","54,947.00","95,873.00"
90005,Wilshire Center,"36,910","15,993","44,913.00","65,450.00"
90006,Pico-Union,"57,136","18,850","41,068.00","57,473.00"
90007,University Park,"41,270","12,211","33,222.00","61,061.00"
90008,Baldwin Hills/Crenshaw,"31,046","14,425","49,379.00","74,594.00"
90010,Wilshire Center,"4,313","2,247","76,547.00","107,339.00"
90011,South Los Angeles,"109,511","24,603","47,126.00","63,504.00"
90012,Downtown Los Angeles,"39,709","14,361","53,278.00","85,008.00"
90013,Downtown Los Angeles (Skid Row),"13,413","7,724","22,291.00","72,013.00"
90014,Downtown Los Angeles (Fashion District),"8,547","5,803","31,332.00","68,392.00"
90015,Downtown Los Angeles (South Park),"24,228","11,746","53,062.00","88,556.00"
90016,West Adams,"45,884","17,387","53,659.00","78,133.00"
90017,Downtown Los Angeles (Financial District),"28,433","12,996","44,607.00","68,810.00"
90018,Jefferson Park,"51,388","16,394","55,275.00","73,349.00"
90019,Mid-City,"61,061","23,584","61,616.00","90,652.00"
90020,Koreatown,"38,124","16,881","51,013.00","82,166.00"
90021,Downtown Los Angeles (Warehouse District),"2,724","1,454","25,364.00","52,473.00"
90022,East Los Angeles,"65,110","17,266","57,464.00","70,441.00"
90023,Boyle Heights,"45,732","11,832","48,293.00","60,150.00"
90024,Westwood,"50,611","16,359","67,422.00","143,855.00"
90025,West Los Angeles,"44,608","21,470","100,453.00","132,210.00"
90026,Echo Park,"65,921","25,968","70,436.00","100,832.00"
90027,Los Feliz,"44,678","21,133","78,356.00","118,015.00"
90028,Hollywood,"29,887","16,833","52,814.00","73,021.00"
90029,East Hollywood,"35,037","13,218","50,822.00","71,796.00"
90031,Lincoln Heights,"38,533","11,868","53,319.00","82,490.00"
90032,El Sereno,"45,298","13,314","65,761.00","85,167.00"
90033,Boyle Heights,"47,495","13,240","49,734.00","61,606.00"
90034,Palms,"53,321","24,938","88,490.00","114,264.00"
90035,Pico-Robertson,"26,411","11,310","101,570.00","149,202.00"
90036,Fairfax District,"37,596","18,990","87,868.00","131,183.00"
90037,South Los Angeles,"68,885","17,772","45,128.00","61,525.00"
90038,Hollywood,"27,995","12,595","51,096.00","71,410.00"
90039,Atwater Village,"28,839","11,992","99,226.00","143,315.00"
90041,Eagle Rock,"28,956","10,001","95,811.00","129,808.00"
90042,Highland Park,"59,658","20,844","81,853.00","107,664.00"
90043,Hyde Park,"44,272","17,052","60,599.00","82,166.00"
90044,South Los Angeles,"100,225","28,202","43,388.00","59,026.00"
90045,Westchester,"41,411","15,666","115,943.00","155,230.00"
90046,Hollywood Hills West,"48,749","28,249","77,162.00","122,497.00"
90047,South Los Angeles,"51,494","16,853","62,399.00","79,630.00"
90048,Beverly Grove,"20,504","11,474","102,567.00","159,533.00"
90049,Brentwood,"35,853","16,116","143,000.00","250,756.00"
90056,Ladera Heights,"7,956","3,556","105,744.00","137,168.00"
90057,Westlake,"47,604","17,179","43,796.00","55,038.00"
90058,Vernon,"3,659",979,"33,146.00","55,991.00"
90059,Watts,"41,315","10,162","47,682.00","65,374.00"
90061,South Los Angeles,"29,992","7,844","50,427.00","70,279.00"
90062,South Los Angeles,"34,277","9,796","56,500.00","75,057.00"
90063,East Los Angeles,"52,954","13,616","57,026.00","70,820.00"
90064,Rancho Park,"25,161","11,144","109,357.00","177,834.00"
90065,Glassell Park,"46,432","16,180","80,386.00","117,819.00"
90066,Mar Vista,"54,913","24,647","90,983.00","131,591.00"
90067,Century City,"2,483","1,531","109,704.00","181,624.00"
90068,Hollywood Hills,"21,127","11,528","90,733.00","167,284.00"
90069,West Hollywood,"20,185","12,844","98,440.00","161,102.00"
90071,Downtown Los Angeles (Bunker Hill),28,10,0,0
90210,Beverly Hills,"19,627","7,947","154,740.00","300,143.00"
90211,Beverly Hills,"9,202","3,801","89,946.00","159,994.00"
90212,Beverly Hills,"10,999","5,503","91,663.00","156,756.00"
90073,Sawtelle (VA Medical Center),881,0,0,0
90077,Bel-Air,"7,729","2,899","200,625.00","388,491.00"
90089,University of Southern California,"3,498",5,0,0
90094,Playa Vista,"11,426","5,560","166,667.00","220,925.00"
90230,Culver City,"33,620","13,792","96,837.00","139,440.00"
90232,Culver City,"15,342","7,101","105,932.00","141,413.00"
90272,Pacific Palisades,"21,282","8,074","212,115.00","357,160.00"
90291,Venice,"25,685","13,535","105,871.00","179,669.00"
90292,Marina del Rey,"23,951","13,048","137,813.00","178,541.00"
90293,Playa del Rey,"12,812","6,625","110,884.00","152,702.00"
90401,Santa Monica (Downtown),"7,482","4,678","90,682.00","146,888.00"
90402,Santa Monica (North of Montana),"12,046","4,906","139,667.00","304,203.00"
90403,Santa Monica (Wilshire/Montana),"24,525","13,164","113,204.00","161,030.00"
90404,Santa Monica (Mid-City),"23,460","10,562","74,591.00","119,465.00"
91040,Sunland,"21,289","7,412","98,044.00","118,017.00"
91042,Tujunga,"26,686","9,872","73,115.00","92,978.00"
91303,Canoga Park,"29,965","9,887","66,494.00","84,376.00"
91304,Canoga Park,"54,264","18,190","74,987.00","107,313.00"
91306,Winnetka,"49,260","14,463","77,597.00","98,494.00"
91307,West Hills,"25,773","8,562","125,343.00","158,018.00"
91311,Chatsworth,"41,188","14,156","101,623.00","128,251.00"
91316,Encino,"28,182","12,372","79,858.00","119,198.00"
90405,Santa Monica (Ocean Park),"27,367","14,247","97,010.00","143,622.00"
91324,Northridge,"29,328","10,045","88,003.00","110,861.00"
91325,Northridge,"35,355","12,590","73,119.00","103,756.00"
91326,Porter Ranch,"36,079","12,518","130,322.00","161,360.00"
91330,"California State University, Northridge","3,017",0,0,0
91331,Arleta,"102,553","23,182","72,089.00","89,135.00"
91335,Reseda,"78,205","24,289","68,163.00","93,185.00"
91340,San Fernando,"35,918","8,829","67,638.00","87,598.00"
91342,Sylmar,"92,764","24,793","84,312.00","96,457.00"
91343,North Hills,"64,519","17,977","71,380.00","94,704.00"
91344,Granada Hills,"54,465","17,529","104,640.00","131,022.00"
91345,Mission Hills,"18,752","5,448","85,659.00","96,866.00"
91352,Sun Valley,"45,900","12,040","65,085.00","84,741.00"
91356,Tarzana,"29,968","11,803","90,886.00","147,860.00"
91364,Woodland Hills,"28,264","10,254","116,443.00","158,073.00"
91367,Woodland Hills,"44,931","17,953","98,803.00","130,769.00"
91401,Valley Glen,"38,974","14,596","65,458.00","92,725.00"
91402,Panorama City,"68,076","20,133","51,485.00","68,577.00"
91403,Sherman Oaks,"26,061","11,867","104,499.00","159,467.00"
91405,Van Nuys,"55,751","18,374","54,391.00","72,731.00"
91406,Lake Balboa,"54,404","18,686","64,875.00","85,760.00"
91506,Burbank,"19,449","8,125","83,217.00","115,586.00"
91601,North Hollywood,"34,786","17,086","61,761.00","88,989.00"
91602,North Hollywood,"20,465","10,124","83,866.00","119,600.00"
91411,Van Nuys,"23,902","9,037","67,430.00","88,049.00"
91423,Sherman Oaks,"31,901","14,925","97,727.00","152,269.00"
91436,Encino,"16,970","6,011","157,898.00","255,415.00"
91501,Burbank,"19,493","7,834","78,630.00","113,879.00"
91502,Burbank,"12,044","5,530","52,906.00","74,479.00"
91604,Studio City,"32,680","14,350","124,271.00","183,893.00"
91605,North Hollywood,"52,661","16,304","56,403.00","77,544.00"
91606,North Hollywood,"43,381","15,255","57,146.00","76,519.00"
91607,Valley Village,"30,921","13,384","80,871.00","104,990.00"
91608,Universal City,16,8,0,0
